satellites, start_query, end_query, longitude, latitude, start_overpass, end_overpass
SENTINEL-5P;CALIPSO,2020-06-01 12:00:00+00:00,2020-06-14 15:00:00+00:00,-40.83838105556696,-17.99338349833171,2020-06-14 04:35:00+00:00,2020-06-14 07:40:00+00:00
SENTINEL-5P;CALIPSO,2020-06-01 12:00:00+00:00,2020-06-14 15:00:00+00:00,70.7034219134749,81.75172995816803,2020-06-14 04:05:00+00:00,2020-06-14 04:20:00+00:00
SENTINEL-5P;CALIPSO,2020-06-01 12:00:00+00:00,2020-06-14 15:00:00+00:00,-112.8297877059911,68.24978450705845,2020-06-11 20:10:00+00:00,2020-06-11 23:45:00+00:00
SENTINEL-5P;CALIPSO,2020-06-01 12:00:00+00:00,2020-06-14 15:00:00+00:00,16.88123081000947,50.366377468789125,2020-06-09 12:15:00+00:00,2020-06-09 15:15:00+00:00
SENTINEL-5P;CALIPSO,2020-06-01 12:00:00+00:00,2020-06-14 15:00:00+00:00,144.72803521055187,13.825695840443128,2020-06-07 04:15:00+00:00,2020-06-07 07:20:00+00:00
SENTINEL-5P;CALIPSO,2020-06-01 12:00:00+00:00,2020-06-14 15:00:00+00:00,-174.70126784966598,-75.1224672496739,2020-06-07 03:50:00+00:00,2020-06-07 04:00:00+00:00
SENTINEL-5P;CALIPSO,2020-06-01 12:00:00+00:00,2020-06-14 15:00:00+00:00,75.54802647821704,-64.6076894017271,2020-06-04 19:50:00+00:00,2020-06-04 23:25:00+00:00
SENTINEL-5P;CALIPSO,2020-06-01 12:00:00+00:00,2020-06-14 15:00:00+00:00,-156.96302219486762,-46.626067590883466,2020-06-02 11:55:00+00:00,2020-06-02 15:00:00+00:00

