satellites, start_query, end_query, longitude, latitude, start_overpass, end_overpass
SENTINEL-5P;CALIPSO,2020-04-10 12:00:00+00:00,2020-04-23 15:00:00+00:00,-135.51526422667524,-59.96514990520939,2020-04-21 10:05:00+00:00,2020-04-21 13:40:00+00:00
SENTINEL-5P;CALIPSO,2020-04-10 12:00:00+00:00,2020-04-23 15:00:00+00:00,-9.890988379412049,-41.928941484152006,2020-04-19 02:10:00+00:00,2020-04-19 05:15:00+00:00
SENTINEL-5P;CALIPSO,2020-04-10 12:00:00+00:00,2020-04-23 15:00:00+00:00,-172.4297567163884,80.99486693201901,2020-04-16 17:45:00+00:00,2020-04-16 21:20:00+00:00
SENTINEL-5P;CALIPSO,2020-04-10 12:00:00+00:00,2020-04-23 15:00:00+00:00,51.31158198073087,56.3272248237751,2020-04-14 09:45:00+00:00,2020-04-14 13:20:00+00:00
SENTINEL-5P;CALIPSO,2020-04-10 12:00:00+00:00,2020-04-23 15:00:00+00:00,175.95001007556644,38.15630263366548,2020-04-12 01:50:00+00:00,2020-04-12 04:55:00+00:00

