satellites, start_query, end_query, longitude, latitude, start_overpass, end_overpass
SENTINEL-5P;CALIPSO,2020-01-23 12:00:00+00:00,2020-02-05 15:00:00+00:00,104.39062373900646,41.09172948289385,2020-02-04 06:30:00+00:00,2020-02-04 09:40:00+00:00
SENTINEL-5P;CALIPSO,2020-01-23 12:00:00+00:00,2020-02-05 15:00:00+00:00,-54.89443832463145,-81.0906450840626,2020-02-01 22:05:00+00:00,2020-02-02 01:40:00+00:00
SENTINEL-5P;CALIPSO,2020-01-23 12:00:00+00:00,2020-02-05 15:00:00+00:00,165.3956427697547,-56.103631090928744,2020-01-30 14:05:00+00:00,2020-01-30 17:40:00+00:00
SENTINEL-5P;CALIPSO,2020-01-23 12:00:00+00:00,2020-02-05 15:00:00+00:00,-65.23559539994083,-20.109362147034574,2020-01-28 06:05:00+00:00,2020-01-28 09:20:00+00:00
SENTINEL-5P;CALIPSO,2020-01-23 12:00:00+00:00,2020-02-05 15:00:00+00:00,150.23699465499035,81.75369860408244,2020-01-25 21:45:00+00:00,2020-01-26 01:20:00+00:00
SENTINEL-5P;CALIPSO,2020-01-23 12:00:00+00:00,2020-02-05 15:00:00+00:00,-8.325816806490742,52.98137161884954,2020-01-23 13:45:00+00:00,2020-01-23 17:20:00+00:00

