satellites, start_query, end_query, longitude, latitude, start_overpass, end_overpass
SENTINEL-5P;CALIPSO,2020-02-18 12:00:00+00:00,2020-03-02 15:00:00+00:00,-150.69557492551397,17.590646356738127,2020-02-29 23:50:00+00:00,2020-03-01 03:00:00+00:00
SENTINEL-5P;CALIPSO,2020-02-18 12:00:00+00:00,2020-03-02 15:00:00+00:00,136.96727445783026,-68.30124572971009,2020-02-27 15:25:00+00:00,2020-02-27 19:05:00+00:00
SENTINEL-5P;CALIPSO,2020-02-18 12:00:00+00:00,2020-03-02 15:00:00+00:00,-93.26152239318787,-50.7171143300976,2020-02-25 07:30:00+00:00,2020-02-25 11:05:00+00:00
SENTINEL-5P;CALIPSO,2020-02-18 12:00:00+00:00,2020-03-02 15:00:00+00:00,34.7042420894964,-14.503490940600944,2020-02-22 23:30:00+00:00,2020-02-23 02:40:00+00:00
SENTINEL-5P;CALIPSO,2020-02-18 12:00:00+00:00,2020-03-02 15:00:00+00:00,-35.068645529759564,65.17469459762519,2020-02-20 15:05:00+00:00,2020-02-20 18:45:00+00:00

