satellites, start_query, end_query, longitude, latitude, start_overpass, end_overpass
SENTINEL-5P;CALIPSO,2019-12-15 12:00:00+00:00,2019-12-28 15:00:00+00:00,20.115990154334483,23.156153982991537,2019-12-26 12:20:00+00:00,2019-12-26 15:35:00+00:00
SENTINEL-5P;CALIPSO,2019-12-15 12:00:00+00:00,2019-12-28 15:00:00+00:00,-59.36197232445688,-73.41882932872032,2019-12-24 03:55:00+00:00,2019-12-24 07:35:00+00:00
SENTINEL-5P;CALIPSO,2019-12-15 12:00:00+00:00,2019-12-28 15:00:00+00:00,83.19379408862208,-38.65275943279177,2019-12-21 19:55:00+00:00,2019-12-21 23:30:00+00:00
SENTINEL-5P;CALIPSO,2019-12-15 12:00:00+00:00,2019-12-28 15:00:00+00:00,-150.491185697377,-2.379899351539932,2019-12-19 11:55:00+00:00,2019-12-19 15:10:00+00:00
SENTINEL-5P;CALIPSO,2019-12-15 12:00:00+00:00,2019-12-28 15:00:00+00:00,130.07221193791398,70.81758056149451,2019-12-17 03:35:00+00:00,2019-12-17 07:10:00+00:00

